normalised_entity,English,Russian,Spanish,Ukrainian,total_mentions
Добра,0,1,0,0,1
Донбассе,0,1,0,0,1
Другої,0,0,0,1,1
Европа,0,1,0,0,1
Европы,0,1,0,0,1
"ЖК ""Комфорт Таун",0,0,0,1,1
Жан-Ноэль Барро,0,1,0,0,1
Запада,0,1,0,0,1
Западе,0,1,0,0,1
Захарова,0,1,0,0,1
Захаровой,0,1,0,0,1
Зеленского,0,1,0,0,1
Зосима,0,1,0,0,1
Зосиме,0,1,0,0,1
Зосимы,0,1,0,0,1
Иран,0,1,0,0,1
Киева,0,1,0,0,1
Киевскому,0,1,0,0,1
Києва,0,0,0,1,1
Київської,0,0,0,1,1
Комсомольская Правда,0,1,0,0,1
Костянтин Крайній,0,0,0,1,1
Крайній,0,0,0,2,2
Краткий пересказ,0,1,0,0,1
Кущника,0,0,0,1,1
МИД РФ,0,1,0,0,1
МИД Украины,0,1,0,0,1
МИД Франции,0,1,0,0,1
МОСКВА,0,1,0,0,1
Макрон,0,1,0,0,1
Мария Захарова,0,2,0,0,2
Министерства иностранных дел Украины,0,1,0,0,1
Минобороны России,0,2,0,0,2
Мистецькому арсеналі,0,0,0,1,1
Національна,0,0,0,1,1
Національного заповідника,0,0,0,1,1
Нотр-Даму,0,0,0,1,1
Олександра Довженка,0,0,0,1,1
Олесі Островської-Лютої,0,0,0,1,1
Оптину,0,1,0,0,1
Освітнього холдингу,0,0,0,1,1
Палац,0,0,0,1,1
Париж,0,1,0,0,1
Православия,0,1,0,0,1
РИА Новости,0,1,0,0,1
"РИА ИИ
Заявление Министерства иностранных дел Украины",0,1,0,0,1
Радіо Культура,0,0,0,1,1
Раніше,0,0,0,1,1
России,0,1,0,0,1
Руси,0,1,0,0,1
Руси - «Заповедник»,0,1,0,0,1
СБУ,0,1,0,1,2
США,0,1,0,0,1
Свято-Успенскую Николо-Васильевскую обитель,0,1,0,0,1
Севастополя,0,1,0,0,1
Слово,0,1,0,0,1
Сокур,0,1,0,0,1
Софії Київської,0,0,0,1,1
Старого Арсеналу,0,0,0,1,1
Суми,0,0,0,1,1
Схиархимандриту Зосима,0,1,0,0,1
Також,0,0,0,1,1
Тафійчук,0,0,0,1,1
Тетяна Шаповалова,0,0,0,1,1
Тетяни Бережної,0,0,0,1,1
Угледар,0,1,0,0,1
Удар,0,1,0,0,1
Украинской православной церкви,0,1,0,0,1
Українська Правда,0,0,0,1,1
"Успенському собору
URL:",0,0,0,1,1
"Успенському собору
Російський удар",0,0,0,1,1
Факты,0,1,0,0,1
Феодосія,0,0,0,1,1
Феодосія Печерських,0,0,0,1,1
Франции,0,1,0,0,1
Франції Жан-Ноель Барро,0,0,0,1,1
"Х.
Кошта",0,0,0,1,1
Шахед,0,0,0,1,1
Эмманюэль Макрон,0,1,0,0,1
Юлія Свириденко,0,0,0,1,1
богослужбові предмети,0,0,0,1,1
масовану комбіновану атаку на Київ,0,0,0,1,1
які від,0,0,0,1,1
