normalised_entity,English,Russian,Spanish,Ukrainian,total_mentions
Руси,0,1,0,0,1
России,0,1,0,0,1
Раніше,0,0,0,1,1
Радіо Культура,0,0,0,1,1
"РИА ИИ
Заявление Министерства иностранных дел Украины",0,1,0,0,1
11th Century Dormition Cathedral,1,0,0,0,1
які від,0,0,0,1,1
мати щастя,0,0,0,1,1
масовану комбіновану атаку на Київ,0,0,0,1,1
друзям,0,0,0,1,1
богослужбові предмети,0,0,0,1,1
Юлія Свириденко,0,0,0,1,1
Эмманюэль Макрон,0,1,0,0,1
Шахед,0,0,0,1,1
"Х.
Кошта",0,0,0,1,1
Франції Жан-Ноель Барро,0,0,0,1,1
Франции,0,1,0,0,1
Феодосія Печерських,0,0,0,1,1
Феодосія,0,0,0,1,1
Факты,0,1,0,0,1
Administración Militar de la Ciudad de Kyiv,0,0,1,0,1
